,placeId,placeName,linkPlaceId,pinCode,mandalName,latitude,longitude,stateCode,district
6300,222540,KANNAYAGUDEM,222540,534312,KOYYALAGUDEM,17.085795,81.446056,AP,ELURU
6301,9551,MUDDANUR,9551,516380,MUDDANUR,14.688900,78.392800,AP,YSR KADAPA
6302,1668767870597,ANJANEYAGUDI,1668767870597,517561,RAMACHANDRAPURAM,13.512396,79.377975,AP,TIRUPATHI
6303,238929,DEVAREDDYPALLI,238929,515867,GUMMAGATTA,14.669053,76.946769,AP,ANANTAPURAMU
6304,238928,AVULADATLA,238928,515867,RAYADURG,14.695596,76.987018,AP,ANANTAPURAMU
6305,238935,VDPL MODEL SCHOOL,238935,515870,VIDAPANAKAL,15.1010635,77.14412625,AP,ANANTAPURAMU
6306,238934,PALTHURU,238934,515870,VIDAPANAKAL,14.9728160,77.1523730,AP,ANANTAPURAMU
6307,238933,HAVALIGI,238933,515870,VIDAPANAKAL,15.011877,77.113523,AP,ANANTAPURAMU
6308,238939,GODISALAPALLI,238939,515871,D HIREHAL,14.852997,76.930873,AP,ANANTAPURAMU
6309,238938,GARUDACHEDU,238938,575871,KANEKAL,14.853746,77.106425,AP,ANANTAPURAMU
6310,1668534425787,KM STONE-MANDAPAKA,1668534425787,534218,TANUKU,,,AP,WEST GODAVARI
6311,222553,KMSTONE,222553,533440,SAMALKOT,15.8561560,78.2868170,AP,KAKINADA
6312,238937,CHERLOPALLI,238937,515871,D HIREHAL,14.92179752,76.91189222,AP,ANANTAPURAMU
6313,238943,KUKKALA DODDI,238943,516101,KODUR,13.78129,79.4219,AP,ANNAMAYYA
6314,238942,K M STONE,238942,516101,B KODURU,15.6100720,79.0539740,AP,YSR KADAPA
6315,222558,TURAKANAIDUVALASA,222558,535525,JIYYAMMAVALASA,18.747812,83.551661,AP,PP MANYAM
6316,222557,THOTAPALLE,222557,521211,GARUGUBILLI,18.785564,83.508798,AP,PP MANYAM
6317,222563,JAMADALA,222563,535527,PARVATHIPURAM,18.7407570,83.3193400,AP,PP MANYAM
6318,238946,KANDRAVARI PALLI,238946,524134,CHITVEL,14.116197,79.356184,AP,ANNAMAYYA
6319,238945,ANUMPALLI,238945,516104,CHITVEL,14.16973,79.3925805,AP,ANNAMAYYA
6320,222561,PARAJAPADU,222561,535526,JIYYAMMAVALASA,18.794959,83.552594,AP,PP MANYAM
6321,222565,CHAPPAGOTTILI,222565,535534,KURUPAM,18.8828430,83.7133230,AP,PP MANYAM
6322,222571,MULUGUDA,222571,535534,KURUPAM,19.074060,83.529050,AP,PP MANYAM
6323,238955,REDDIPALLE,238955,516107,PULLAMPETA,14.094700,79.227110,AP,ANNAMAYYA
6324,238959,THIPPAYAPALLE,238959,516107,PULLAMPETA,14.113870,79.119750,AP,ANNAMAYYA
6325,222575,CHIKKALAPALEM,222575,534342,CHAGALLU,16.966712,81.612879,AP,EAST GODAVARI
6326,9581,MUDIGUBBA,9581,515511,MUDIGUBBA,14.3497033,77.9974117,AP,SRI SATHYA SAI
6327,222573,RAJUPOTHEPALLI,222573,534461,T NARASAPURAM,17.025232,81.100965,AP,ELURU
6328,1655794409958,KIA FACTORY,1655794409958,515164,PENUKONDA,14.166526,77.618069,AP,SRI SATHYA SAI
6329,238957,SREERANGARAJUPALEM,238957,516107,PULLAMPETA,14.13939,79.05345,AP,ANNAMAYYA
6330,222572,NAVABHARAT X ROAD,222572,534451,T NARASAPURAM,17.070283,81.218932,AP,ELURU
